Stash_JP = {

	-- Official Japanese Translation Data Information
	Stash_WpMap5_Text11 = "あなたを愛している限り、彼らを守って",
	Stash_WpMap5_Text2 = "ピザ",
	Stash_WpMap5_Text3 = "問題がある",
	Stash_WpMap6_Text1 = "今はすべてを必要としない。がんばろう。",
	Stash_WpMap6_Text2 = "Twiggy's",
	Stash_WpMap6_Text3 = "地獄だ",
	Stash_WpMap8_Text1 = "Jolene は病気に罹らなかった。 彼女を助けることができる。",
	Stash_WpMap8_Text2 = "銃砲店",
	Stash_WpMap8_Text3 = "男が死ぬのを見た",
	Stash_WpMap9_Text1 = "ゾンビ地獄",
	Stash_WpMap9_Text2 = "父親の事務所",
	Stash_WpMap9_Text3 = "父親の遺体",
	Stash_WpMap10_Text1 = "何もかもめちゃくちゃ",
	Stash_WpMap10_Text2 = "資材庫にはまだ物資があるかも知れない",
	Stash_WpMap10_Text3 = "問題が多い",
	Stash_MarchRidgeMap1_Text1 = "この場所に銃",
	Stash_MarchRidgeMap1_Text2 = "斧と道具がここにある？",
	Stash_MarchRidgeMap1_Text3 = "ここに行くな",
	Stash_MarchRidgeMap2_Text1 = "あなたに銃を残した",
	Stash_MarchRidgeMap2_Text2 = "この店には物資があるかもしれない",
	Stash_MarchRidgeMap2_Text3 = "奴らがここに行っているようだ。奴ら移行しているのか？",
	Stash_MarchRidgeMap3_Text1 = "ここにハンターが居る",
	Stash_MarchRidgeMap3_Text2 = "パン屋",
	Stash_MarchRidgeMap3_Text3 = "彼女を見た最後の場所",
	Stash_MarchRidgeMap4_Text1 = "助けてくれるかも知れない。捜索する前に作ることができれば。",
	Stash_MarchRidgeMap4_Text11 = "一緒に戻っている。どういう訳なのか。",
	Stash_MarchRidgeMap4_Text2 = "コミュニティセンター。 私はここにいます。あなたを愛しています。",
	Stash_MarchRidgeMap4_Text3 = "あなたがここに駐留していないことを神に願います。ここはあなたと楽しい思い出の場所。",
	Stash_MarchRidgeMap5_Text1 = "銃は使わないで - ここに武器として使うことができる物",
	Stash_MarchRidgeMap5_Text2 = "医療センター",
	Stash_MarchRidgeMap5_Text3 = "静かな場所",
	Stash_MarchRidgeMap6_Text1 = "我々は建物を確保するため必要な物がある",
	Stash_MarchRidgeMap6_Text2 = "特別な機材",
	Stash_MarchRidgeMap6_Text6 = "ここは地獄",
	Stash_MarchRidgeMap7_Text1 = "彼が隠れていたと思う場所。",
	Stash_MarchRidgeMap7_Text2 = "ここに道具がある可能性がある",
	Stash_MarchRidgeMap7_Text3 = "ここで彼を見た。噛むことはないが、熱があった。",
	Stash_RosewoodStashMap2_Text1 = "何丁かの銃を隠した",
	Stash_RosewoodStashMap2_Text2 = "次にここ",
	Stash_RosewoodStashMap2_Text3 = "ここで終わる",
	Stash_RosewoodStashMap3_Text1 = "私たちが待っている間、いくつかの場所を強化するのに役立つ装備が見つかった。",
	Stash_RosewoodStashMap3_Text11 = "お母さんの場所。そこであなたを見る",
	Stash_RosewoodStashMap3_Text2 = "ここに武器があるかも知れない。 - 念のため",
	Stash_RosewoodStashMap3_Text3 = "ここには行かない方がいい",
	Stash_MulMap12_Text1 = "ここに散弾銃 - 台所に食べ物？",
	Stash_MulMap12_Text2 = "医療がクソ",
	Stash_MulMap12_Text3 = "ゾンビの大きな集団",
	Stash_MulMap13_Text1 = "中途半端に戻って来た、ここに全て残した - 重過ぎる",
	Stash_MulMap13_Text2 = "ホームセンター ここにはまだ多くの道具が",
	Stash_MulMap13_Text3 = "銃砲店",
	Stash_WpMap11_Text1 = "Spiffo(スピッフォ)の店長は店内に散弾銃を保管してる。",
	Stash_WpMap11_Text11 = "クレイジーな馬鹿は何が来るのか分かっていた。",
	Stash_WpMap11_Text2 = "手の届かない場所。",
	Stash_WpMap11_Text3 = "自宅の近くの何処かに避けるつもりだ - ここで私を探しちゃいけない",
	Stash_WpMap12_Text1 = "仕事場にゾンビが襲った時、皆がそれを作った",
	Stash_WpMap12_Text11 = "私は彼らが回る前に彼らに乗った",
	Stash_WpMap12_Text2 = "銃砲店",
	Stash_WpMap12_Text3 = "暗黒の金曜日 群衆いる",

}
