// Otomatik olusturulan dosya

RM_9d4f58aa-f709-4de9-a347-edbea371941e = "[img=music] Yaptigim her düsünce... [img=music]"
RM_38eaedef-3a02-4e22-a513-0927edac09a0 = "[img=müzik] ... aldigim her nefes. [img=müzik]"
RM_d471347b-36f0-410e-8760-a217c4bd06b6 = "[img=music] Sizi taniyorum... [img=music]"
RM_e1547c4d-da90-49d5-b253-2f95e9432556 = "[img=music] ... cesaret edebileceginizi söyledi. [img=music]"
RM_86f793be-c1a8-4871-a936-ceecee2d20a3 = "[img=music] Ve sonra paylasacaginiz... [img=music]"
RM_d06266a0-d109-4bb4-aa6c-22f7351f0a9b = "[img=music] Hayatiniz. Benimle. [img=music]"
RM_61ceb155-ca1a-4d7d-962f-b5a973bd04e5 = "[img=music] Yillar boyunca... [img=music]"
RM_eedd652e-1c03-42ba-8b46-57019044db9c = "[img=müzik] ... gözyasina gerek yok. [img=müzik]"
RM_fdadb8cf-ef3a-43f6-9ecc-e590fdb09179 = "[img=music] Sevginizin derinligini gördüm. [img=music]"
RM_846bcf2a-79a5-4447-a5ff-f93852d7ff15 = "[img=music] Bu dogru. Derinlik... [img=music]"
RM_3edf86de-a77e-47c4-a78d-248dd9912f18 = "[img=music] ...senin güzel askin. [img=music]"
RM_cca4a8fc-d2e3-49c9-9ba9-f7a3fcdaf694 = "[img=müzik] Vücudumuz... [img=müzik]"
RM_c97d513a-01f4-476d-bda7-7f54396bc0cb = "[img=music] Bedenler zamanda hareket eder. [img=music]"
RM_386ae6d9-cdf3-4f06-b450-6b8eade7cc21 = "[img=music] Ve hayatimiz daha yeni basladi. [img=music]"
RM_1bb0381f-6635-46ed-af0d-ca6ea0ab37a1 = "[img=müzik] Ve evet... [img=müzik]"
RM_3b67bc1f-c0a3-47b1-9703-deab53bdc788 = "[img=music] Benim için sen teksin. [img=music]"
RM_4e9e4487-7643-4f02-a588-096a08a92e3b = "[img=music] Hepsi sizde. [img=music]"
RM_1e5b1bba-09a0-46dd-a319-d715b3900153 = "[img=music] Içimdeki her sey. [img=music]"
RM_40298913-4b72-4f39-96b8-3413a77bb973 = "[img=müzik] Güzelim. [img=müzik]"
RM_4cfd19a3-e5c6-47b1-9395-3f4dae3ba01f = "[img=müzik] Güzelim... [img=müzik]"
RM_8dd5e054-fd5c-4713-af99-81f938edb1b6 = "[img=müzik] Aaa! [img=müzik]"
RM_d64a8423-df49-484b-828e-2c06e76b48b2 = "CD: Sen de Beni Seviyorsun"
RM_6397d719-4295-471a-8757-f41d144b169b = "Beni de Seviyorsun"
RM_83aff01c-b249-4575-95f9-90c6822baa2c = "Maria Dionne"
RM_927bd720-9894-49fc-849d-9896090ccd48 = "Mart 1989'da yayinlandi. Potasyum Kayitlari."
RM_9727fec2-cdb7-4f7a-a627-a8c1922e6b63 = "[img=music] Diyebilseydim... [img=music]"
RM_57faeffc-9b91-4429-9c5b-c6121a26d068 = "[img=music] Kalmanizi saglayacak her sey. [img=music]"
RM_64614ad9-26cc-4b94-9b23-aa72cae127fd = "[img=music] Yapacagimi biliyorsun. Biliyorsun. [img=music]"
RM_25d10f27-802c-4a0c-bbf3-3a6042782c46 = "[img=music] Asla yolunuza çikmak istemedim... [img=music]"
RM_e3b91fbf-7890-4191-82e1-b620af213644 = "[img=müzik] Ve siz... siz de beni sevdiginizi biliyorsunuz, ooh... [img=müzik]"
RM_dd1ccdf5-4274-44ad-82c3-62cd2c79df4e = "[img=music] Sen de beni seviyorsun. [img=music]"
RM_bc7dd155-b1bd-4eb0-ae5b-1c5442c8d588 = "[img=müzik] Siz yaparsiniz. [img=müzik]"
RM_9a0ecafe-d744-41da-af17-c9389d0236a6 = "[img=müzik] Canim sevgilim, sen... [img=müzik]"
RM_37b6c429-6864-4c8a-ae45-e4c1c87a90cc = "[img=müzik] Yapin... [img=müzik]"
RM_afdaa5d0-0df0-4621-a986-1d7f3e85ec56 = "[img=music] Nerede olacagimi biliyorsunuz. [img=music]"
RM_c43fcbc3-22de-474e-aef3-57f63b4bade2 = "[img=music] Arkani dön. Beni göreceksin. [img=music]"
RM_a68f26e7-dd46-490b-a3de-5dbf6312f361 = "[img=music] Yalan söyleyemem. [img=music]"
RM_b0b339ef-bccd-444c-aa4b-9cc4d98f407a = "[img=music] Beni aglarken göreceksiniz. [img=music]"
RM_4e0a41d7-fcbc-442c-b83c-05a1887d2f43 = "[img=music] Gerçek bir kalbin kanayacagini bileceksiniz. [img=music]"
RM_db598203-3696-4c5e-8d45-05916a1b2513 = "[img=music] Ve sen... sen de beni sevdigini biliyorsun, ooh. [img=music]"
RM_38b844c0-9b7c-46a8-b81a-0df56bd107a0 = "CD: Dying Strike Resmi Film Müzigi"
RM_e50444c1-5e23-45d0-a961-6fc7553d2dba = "Dying Strike Resmi Müzigi"
RM_7c9184e3-b322-4565-8566-9d9c39fe09da = "[img=music] Onlari seviyor ve birakiyor...[img=music]"
RM_76f3df3c-0372-4c44-82af-3019bfcfc365 = "[img=music] Silahlarini her zaman iyi nisan alir. [img=music]"
RM_22f1bc18-4b43-41ca-8ab4-d940d9650309 = "[img=music] Aygitlariyla düsmanlarla savasir... [img=music]"
RM_45c1aab7-d440-4fe5-90ac-5d9d409388ae = "[img=music] Kimse kabuguna giremez. [img=music]"
RM_05e90cd0-c24d-4a62-8251-ade2887b2805 = "[img=music] Yumruklu ve mermili... [img=music]"
RM_7b925524-c4c9-4889-b7ca-dd894b60cc8d = "[img=music] ...bir DYYYYYYING STRIIIIIIIKE veriyor! [img=music]"
RM_f1c4626c-df0a-4dcc-a679-7347bc2a24e8 = "[img=music] Patlamalar ve silahlarla... [img=music]"
RM_cfb2c3c5-9b85-418a-82ac-bb75eab975c4 = "[img=music] O bir... DYYYYYYING STRIIIIIIIKE! [img=music]"
RM_9d498abc-2e99-4a38-afd3-b8ea51e1414a = "[img=music] En büyük görevinde... [img=music]"
RM_a195ae51-69a6-453f-92a1-a9bed7206a41 = "[img=music] DYYYYYYING STRIIIIIIIKE veriyor! [img=music]"
RM_7c7de31d-a074-4c06-a53d-ebf4ff30e4bb = "CD: Askimiz Devam Ediyor"
RM_a2c02b35-8b71-414a-a68c-b7d3701d5f6d = "Askimiz Devam Ediyor"
RM_043954ac-0641-444e-b321-8aa13beb1b3b = "Mayis 1988'de yayinlandi. Potasyum Kayitlari."
RM_fbfbc355-33ba-43c0-a3f2-5f1ee71bc645 = "[img=music] Bir gün seninle tanisacagimi bilseydim... [img=music]"
RM_b17c4105-8725-45f1-9eb1-466eecfefdd3 = "[img=music] Ve askimizin çok gerçek olmasi.. [img=music]"
RM_cfec7b2b-2870-4e2e-9263-db35e66134f8 = "[img=music] O kadar gözyasi bosa gitmezdi... [img=music]"
RM_fc6267bc-d906-41de-8977-39889e9ea4a4 = "[img=music] Tüm o uzun ve yalniz yillarda. [img=music]"
RM_b8aef1d0-099b-4118-b9e7-3eb45ef4abb5 = "[img=music] Benim için bir tane olduguna olan inancimi kaybediyorum... [img=music]"
RM_2dbd750b-c19b-4900-8a07-0b4271c4082b = "[img=music] Iste buradasiniz, hepsi benim için. [img=music]"
RM_1bc849a3-050b-42d3-8097-2dc058ffd0df = "[img=music] Ve askimiz hep devam edecek... [img=music]"
RM_0435e454-9e18-4bbd-8661-dc772c47e851 = "[img=music] Hayatimizin geri kalaninin çok ötesinde... [img=music]"
RM_b4febdc2-8b12-4ab4-bf49-5033a885831a = "[img=music] Sen benim sabah yildizimsin, günesimsin... [img=music]"
RM_6f1de52f-c113-4a46-abc8-9feec0aa33d2 = "[img=music] Kaderim, benim biricik... [img=music]"
RM_c60137d1-f150-4ca9-a604-5e710e8bd71d = "[img=music] Sen aysin, Samanyolu... [img=music]"
RM_f25ab71b-bf00-4e41-8021-a499c5e53f30 = "[img=music] Bana yol gösteren rehber yildiz. [img=music]"
RM_afe6e1c0-a89e-4d29-b692-7828615961ea = "[img=music] Bunca yil ve bosa giden gözyaslari... [img=music]"
RM_fa281218-f61e-4bd1-9633-905dcb8ab3c8 = "[img=music] Ama sana baktigimda askim... [img=music]"
RM_586465ad-59ef-41f1-860a-e9419def4345 = "[img=music] Sonsuza kadar dogru olacagini biliyorum. [img=music]"
RM_1614e9ba-4b35-4e57-bc3b-cacddfe11feb = "CD: Loretta"
RM_e5520c5a-b321-4051-951d-4a42a73b7bd3 = "Loretta"
RM_356ec554-2c6f-4b11-b5cb-3ed413909f59 = "Yarim Kurusluk Ayna"
RM_c3f6fb93-6f5d-4eec-bc23-ed33e25fad35 = "Temmuz 1976'da yayinlandi. Ülke Dosyasi Kayitlari."
RM_da4f29d1-1055-483b-8e73-60b3461f4665 = "[img=music] Loretta'yi görmemistim... [img=music]"
RM_0cc63359-d81f-48a2-a6a0-58f0d8ba7962 = "[img=müzik]... otuz yila yakin. [img=müzik]"
RM_9f385b78-e25c-4014-8510-e3e6aeb7a3b5 = "[img=music] Ama yine de o öpücügün tadina bakabilirim... [img=music]"
RM_0f0b5bcc-79c1-4582-8a12-81cc71b6f5ab = "[img=müzik]... ve arkasini hatirlayin. [img=müzik]"
RM_af3b031c-617c-4972-b920-0611211a19cd = "[img=music] Simdi biraz farkli olacagini düsündüm. [img=music]"
RM_f23d7baa-fa82-42d2-9a6a-fad99614540c = "[img=music] Bugün ona baktim. [img=music]"
RM_5b538b0c-312e-44ab-9899-8dacd4a23b3b = "[img=music] Karavaninin önünde durdum... [img=music]"
RM_41b2a481-fa0d-4f9f-8f6f-ee65b6212ec8 = "[img=music] ... bagirma ve bagirma ile. [img=music]"
RM_42d86aef-e759-47e2-814d-d54513147e09 = "[img=music] Ne halt ettigimi sordu. [img=music]"
RM_61058f05-5de4-4eae-a5e7-c4ff638af5c4 = "[img=music] Onu az önce uyandirdigimi söyledim. [img=music]"
RM_4acaaaf2-ed40-42bc-ac1f-7abe192f3c4f = "[img=music] Kocasinin elinde bir pompali tüfek var, bagiriyor ve bagiriyor... [img=music]"
RM_ca0e86c0-f49e-487c-a0d0-b1983d55d040 = "[img=music] ... beni nehre kadar kovaladi ve evet efendim beni gördü! [img=music]"
RM_47f7ee00-e726-4321-821f-20b0301cd879 = "CD: Kentucky'den Bir Çocuk"
RM_39bc1c52-80ac-4342-a3e8-9b05fcf797ce = "Kentucky'den Bir Çocuk"
RM_1ba8b816-aac1-4425-9e3c-453f8ec503dd = "Hank Gilman"
RM_0aed57b8-d4b4-4345-be96-a2dfa2c6762e = "Agustos 1978'de yayinlandi. Ülke Dosyasi Kayitlari."
RM_5ec1e960-d842-42bb-881b-42aafa888df8 = "[img=music] Ben Kentucky'li bir çocugum... [img=music]"
RM_a9d1e53f-cf88-40f5-84ec-a9924cd7bb53 = "[img=music] ...ve sanssiz oldugum için... [img=music]"
RM_79729d5b-b58d-48cf-9195-4648c8b4e41c = "[img=music] Yol boyunca gönderildim... [img=music]"
RM_b9a92819-1bab-47f6-baa8-eb168d133b52 = "[img=müzik] ...Tennessee'ye. [img=müzik]"
RM_05efe47d-1b10-4b42-8649-25093d9f934d = "[img=music] Ön verandasinda onunla karsilastim... [img=music]"
RM_e0918b80-92e1-4aae-9a60-10f4f8614046 = "[img=music] ve onu ilk kez verandasinda öptüm. [img=music]"
RM_1894917f-1b08-4234-8aec-c048fe4df3c8 = "[img=music] Ama sonra annemin buzlu çayi yüzünden eve gittim... [img=music]"
RM_5f8a9439-2061-431d-9664-0d9cb0b01396 = "[img=müzik] Oh, ben Kentucky'li bir çocugum... [img=müzik]"
RM_87a00e13-32ad-4f35-9360-908bdd71ff95 = "[img=müzik] ... Ve evet, sanssizim... [img=müzik]"
RM_d60b51d1-09ca-4942-8334-99e8f9fd78b1 = "[img=music] Çünkü asla 'Bonnie... Evlen benimle' demedim [img=music]"
RM_ff839931-0617-4088-85d2-2a4e98209dc8 = "CD: Beni Düsündürdü"
RM_68dc41bb-ddae-4416-8d86-250750a8241a = "Beni Düsündürdü"
RM_21ea0903-038e-4f21-ae45-855e4e824751 = "Yasli Billy Shanklin"
RM_f8cbc205-71b5-464d-98c4-71873a9ca247 = "Nisan 1969'da yayinlandi. Texas Sound."
RM_218e97ed-3d04-45a1-89a6-27a6b31e88d2 = "[img=music] Beni düsündüren seyin ne oldugunu size söyleyecegim. [img=music]"
RM_324be9f0-e999-4f63-8fb2-61ebb561c3bb = "[img=music] Içkiyi biraktigim gün bana vur. [img=music]"
RM_009a847d-0ba4-4ddf-9423-2a4734ad6185 = "[img=music] Karim gitti. [img=music]"
RM_bca5de6d-2d7f-447c-8632-a4e0ecf97ccf = "[img=music] Kizim 'elveda' dedi. [img=music]"
RM_6ce18524-71f0-4e40-ba89-bf9032c6d8aa = "[img=music] Beni yapayalniz biraktilar. [img=music]"
RM_8052acc4-82c4-4179-bed9-c6c79154f382 = "[img=music] Ve simdi batiyorum... [img=music]"
RM_9365bbd6-94f8-4c87-9df4-8c010dcfb5bd = "[img=music] Beni düsündüren de buydu. [img=music]"
RM_f072e5b3-b140-4dcd-98d6-ee3b3ee56975 = "[img=music] Ve evet efendim simdi batiyorum.. [img=music] ."
RM_84c6b585-63bf-4d89-8d1e-b6a28ae22360 = "CD: Freddy'nin Büyük Balonu"
RM_6ec711a8-7cfc-4c78-af99-a0a1130317ed = "Freddy'nin Büyük Balonu"
RM_6d898066-c10b-43a0-b1f2-83a7834ba293 = "Bojangle'lar"
RM_22b5b943-c87d-42c4-a10b-345cd4889d68 = "Ekim 1962'de yayinlandi. Londinium Records."
RM_caffe62f-1f54-4033-b082-4e7b7753b552 = "[img=müzik] Freddy adinda bir adam taniyoruz... [img=müzik]"
RM_b9cf7643-391d-4bc2-84f0-bbf492aaf8f3 = "[img=music] ...ve kocaman bir balonu var. [img=music]"
RM_87f88f72-0625-4d14-a87f-d33bb7c662a3 = "[img=music] Ve çok büyük oldu... [img=music]"
RM_846621ba-ce4f-4431-84a2-40ea2faba6a4 = "[img=music] Ayin düstügünü düsündük! [img=music]"
RM_9ab271c0-4b00-42dd-bda4-3e1bc9981fee = "[img=music] Freddy'ye içinde ne oldugunu sorduk... [img=music]"
RM_10a8be22-8c97-4731-8c46-d0fd18f180f5 = "[img=müzik] Çogunlukla sadece sicak hava dedi... [img=müzik]"
RM_a63e95ba-7d85-441c-b443-f0b6274eca79 = "[img=müzik] ...ve yumurtalar ve eski kumas artiklari... [img=müzik]"
RM_dfae835b-858a-4824-9ec7-c5eaaba5cddd = "[img=müzik] ...ve uzun, küflü saç telleri. [img=müzik]"
RM_70aaf800-9cf2-451e-abf6-11bd05c08db5 = "[img=music] Freddy simdi Mars'a gidiyor... [img=music]"
RM_f616372e-28e9-4adc-bbfa-aac858b90b21 = "[img=music] ...ama bizi yanina almiyor. [img=music]"
RM_36822986-f39c-40eb-a30b-9707b0b675ec = "[img=music] Onu ve balonunu özleyecegiz... [img=music]"
RM_024eb2ea-eb02-47b8-aa0a-64756e3564a8 = "[img=music] Freddy'ye bu sarkiyi söylüyoruz! [img=music]"
RM_e4d02aae-dfe8-42d1-aaa5-8e814d8be32b = "CD: Bojangles'in En Iyisi"
RM_04333d15-5570-4911-8f47-dee7a20c42ce = "Bojangle'larin En Iyisi"
RM_2b9b09c2-5646-4909-a163-07a560610f2d = "Temmuz 1984'te yayinlandi. Londinium Records."
RM_9184f4e2-cb46-4a11-be0f-3a8dee0bb3c5 = "[img=music] Altimda bir kedi var sapka... [img=music]"
RM_d50365d6-64d6-4ba1-9578-b1347c93f1fb = "[img=music] Ayakkabilarimda bir timsah. [img=music]"
RM_d0c93b6c-b82a-4665-a6a8-0ae16b1e9329 = "[img=music] Eski yumurta mayonezini seviyorum. [img=music]"
RM_37937ec7-afa5-47d3-9745-651f7212bde3 = "[img=müzik] Uyumsuz gitar. [img=müzik]"
RM_8898fcd3-0d6d-43ed-8b05-554bb46bcb0d = "[img=music] Benim için sorun yok. [img=music]"
RM_79437dcf-620b-431a-8dcf-cba7b5845075 = "[img=music] Çayimda tursu var. [img=music]"
RM_656704b2-1dc5-4515-9047-abfab123d978 = "[img=music] Kirmizi veri yolu irinle dolu... [img=music]"
RM_1d5c115c-a45e-46a8-99f8-8e9a5974fcfc = "[img=music] Ve yüzüm dizlerden olusuyor. [img=music]"
RM_5c37377e-13ee-4ca5-a8e5-ec545152d8c1 = "CD: Herkes Nerede?"
RM_d29a311a-a6a3-476d-b031-4bfc9ea49052 = "Herkes Nerede?"
RM_068cc7b6-5670-4c7f-8046-4a2889bed820 = "Jerry Jones"
