// Archivo generado automáticamente

RM_5eb73958-133e-40b2-a1da-c9f243767274 = "Oculto"
RM_381ef815-7ec0-49a0-ac3e-c59e6f8de60d = "La pregunta"
RM_2a330eea-1bd4-4e62-9d81-5de57319c71b = "Lanzado en diciembre de 1992. Registros de potasio".
RM_f566af98-7825-40f8-8ab5-ae251db29eee = "[img=music] Te vi sentado en el semáforo. [img=music]"
RM_6f3a054e-2957-4159-adab-56e3d6bc0920 = "[img=music] Parecía que el mundo no podía girar bien. [img=music]"
RM_881fb74e-93ca-4de7-a623-9399adf44532 = "[img=music] Necesito estar contigo. [img=music]"
RM_37787251-56b3-44df-acb2-f0c80ad17243 = "[img=music] Necesito que me ames también. [img=music]"
RM_94b6a8ed-581d-4995-9e02-4cb155259a56 = "[img=music] ˇNecesito más y más cada día! [img=music]"
RM_646ae99f-c4e5-43ac-b7f2-b8136d486909 = "[img=music] Soy un don nadie. Estoy escondido. [img=music]"
RM_594ddb85-facb-43ed-9db2-6abc83849488 = "[img=music] Siempre estoy fuera de la vista. [img=music]"
RM_fce9349d-e4e7-4f9a-95cb-0f3d89bab29d = "[img=música] żPor qué no me notas? [img=música]"
RM_897f95fe-3df2-4097-870c-e240f4577b6e = "[img=música] żPor qué no encuentras la manera? [img=música]"
RM_11bfd4df-e453-4c54-b212-8f8a6fe05351 = "[img=music] żNo puedes decir que eres mi mundo? [img=music]"
RM_5821d496-e4b4-4c9c-9fa4-e3798aac32e2 = "[img=music] ˇLlegaste, acabo de desplegar! [img=music]"
RM_04cc5068-185e-44bb-8478-930eb79f1f14 = "[img=music] ˇCada día necesito más y más! [img=music]"
RM_b068ad7f-0ba1-486b-87e0-ccc42ad30f13 = "CD: Hagamos el amor"
RM_5ed8c14c-f4d4-4b8a-bd27-d1d156487df4 = "Hagamos el amor"
RM_c599f855-1e22-45e3-9433-a9a3d0f53ffb = "Error Costello"
RM_e729f012-b0ab-42ef-a8ed-d407b744b621 = "Lanzado en octubre de 1983. Growtone Music".
RM_ee83294e-0c1a-4d42-b2f3-0c0805b0034a = "[img=music] Apaga la vela, prueba tu beso. [img=music]"
RM_037cab67-95e5-454e-a752-6b56fc687a88 = "[img=music] Cierra la ventana, apaga la noche. [img=music]"
RM_50d24672-ee8e-41ba-9493-e00b069494cb = "[img=music] Somos tú y yo. Fuera de la vista. [img=music]"
RM_d6fde143-b0af-461a-9e45-01bdd5cf7045 = "[img=music] Nosotros juntos: toda la noche. [img=music]"
RM_0309055f-fed2-4e1a-b340-8dc8ee34ae58 = "[img=music] Tenemos champán, el fuego está encendido. [img=music]"
RM_6449ba6b-2a85-492e-a348-6d69505a38db = "[img=music] Soy tuyo hasta el amanecer, y tú eres mía. [img=music]"
RM_84a8a857-4438-460a-815e-c47aa9b64331 = "[img=music] Solo di la palabra. Dame esa mirada. [img=music]"
RM_c61e705e-de97-4ee7-bb2b-99b62af1785f = "[img=music] Ven mańana será el mundo el que tembló. [img=music]"
RM_aec43ea7-dc4b-4087-9830-6b88fa731bae = "[img=music] Toda la noche te abrazaré. [img=music]"
RM_7f28b871-31f0-4d40-ba61-755f8eb17799 = "[img=música] Por favor, carińo, pídeme que... [img=música]"
RM_89b723fb-11a3-4c5d-826f-df74439dfa9c = "[img=music] Estaremos cerca, muy unidos. [img=music]"
RM_fbe8d638-55fb-4af2-89d6-d888ddcd6841 = "[img=music] Carińo, sabes que está bien. [img=music]"
RM_66ab84d9-12fb-4a6f-a7f0-137d9b7a0953 = "[img=música] Busquemos el éxtasis... [img=música]"
RM_d58e5921-d8bb-466f-92ce-14ba2b0fc0b6 = "[img=música] Carińo, solo tú y yo. [img=música]"
RM_0f0195e7-c9fa-441d-aeca-4c961b22fcbf = "[img=música] Nunca te dejaré ir. [img=música]"
RM_30433dfe-10df-433f-bcb4-f3012ec7f469 = "[img=música] Te quiero tanto. [img=música]"
RM_e2ef94e7-fc43-4310-8c38-272f00c36f20 = "[img=música] Hagamos el amor... [img=música]"
RM_7452ab76-0608-40d4-88ba-7f4eba297b76 = "CD: La profundidad de tu amor"
RM_d15a8aab-b212-4f14-8703-7b51f1831bf6 = "La profundidad de tu amor"
RM_736a277d-bd14-4c62-a354-52605e4c8f8b = "Donny Masón"
RM_92cbd374-c738-494a-982a-57021b61c606 = "Lanzado en septiembre de 1983. The Hitlist Manufactuary".
RM_cd49ab8f-c7db-447d-b71e-1d3937e911c2 = "[img=música] Tu amor... [img=música]"
RM_b73e44b9-70fb-4a70-9e7f-07fc24fef61b = "[img=música] ... es lo que me hace brillar los ojos. [img=música]"
RM_684b190f-5ba9-4b00-bd55-e1fa5bf01909 = "[img=music] Puedo verte en la noche. [img=music]"
RM_59380b6f-3382-4ef7-b854-3060c23ff512 = "[img=music] Un verdadero amor. [img=music]"
RM_9d4f58aa-f709-4de9-a347-edbea371941e = "[img=música] Cada pensamiento que hago... [img=música]"
RM_38eaedef-3a02-4e22-a513-0927edac09a0 = "[img=music] ... cada respiro que tomo. [img=music]"
RM_d471347b-36f0-410e-8760-a217c4bd06b6 = "[img=música] Ya sabes... [img=música]"
RM_e1547c4d-da90-49d5-b253-2f95e9432556 = "[img=music] ... me dijiste que te atreverías. [img=music]"
RM_86f793be-c1a8-4871-a936-ceecee2d20a3 = "[img=music] Y luego que compartirías... [img=music]"
RM_d06266a0-d109-4bb4-aa6c-22f7351f0a9b = "[img=música] Tu vida. Conmigo. [img=música]"
RM_61ceb155-ca1a-4d7d-962f-b5a973bd04e5 = "[img=música] A través de los ańos... [img=música]"
RM_eedd652e-1c03-42ba-8b46-57019044db9c = "[img=música] ... no ha habido necesidad de lágrimas. [img=música]"
RM_fdadb8cf-ef3a-43f6-9ecc-e590fdb09179 = "[img=music] Vi la profundidad de tu amor. [img=music]"
RM_846bcf2a-79a5-4447-a5ff-f93852d7ff15 = "[img=music] Así es. La profundidad de... [img=music]"
RM_3edf86de-a77e-47c4-a78d-248dd9912f18 = "[img=música] ...tu amor hermoso. [img=música]"
RM_cca4a8fc-d2e3-49c9-9ba9-f7a3fcdaf694 = "[img=música] Nuestros cuerpos... [img=música]"
RM_c97d513a-01f4-476d-bda7-7f54396bc0cb = "[img=música] Los cuerpos se mueven en el tiempo. [img=música]"
RM_386ae6d9-cdf3-4f06-b450-6b8eade7cc21 = "[img=music] Y nuestras vidas acaban de comenzar. [img=music]"
RM_1bb0381f-6635-46ed-af0d-ca6ea0ab37a1 = "[img=música] Y sí... [img=música]"
RM_3b67bc1f-c0a3-47b1-9703-deab53bdc788 = "[img=música] Para mí eres el único. [img=música]"
RM_4e9e4487-7643-4f02-a588-096a08a92e3b = "[img=música] Lo tienes todo. [img=música]"
RM_1e5b1bba-09a0-46dd-a319-d715b3900153 = "[img=music] Todo lo que tengo dentro. [img=music]"
RM_40298913-4b72-4f39-96b8-3413a77bb973 = "[img=música] Mi hermosa. [img=música]"
RM_4cfd19a3-e5c6-47b1-9395-3f4dae3ba01f = "[img=música] Mi beee-hermosa... [img=música]"
RM_8dd5e054-fd5c-4713-af99-81f938edb1b6 = "[img=música] ˇMe encanta! [img=música]"
RM_d64a8423-df49-484b-828e-2c06e76b48b2 = "CD: También me amas"
RM_6397d719-4295-471a-8757-f41d144b169b = "Tú también me amas"
RM_83aff01c-b249-4575-95f9-90c6822baa2c = "María Dionne"
RM_927bd720-9894-49fc-849d-9896090ccd48 = "Lanzado en marzo de 1989. Registros de potasio".
RM_9727fec2-cdb7-4f7a-a627-a8c1922e6b63 = "[img=música] Si pudiera decir... [img=música]"
RM_57faeffc-9b91-4429-9c5b-c6121a26d068 = "[img=music] Cualquier cosa que te haga quedarte. [img=music]"
RM_64614ad9-26cc-4b94-9b23-aa72cae127fd = "[img=música] Sabes que lo haría. Ya sabes. [img=música]"
RM_25d10f27-802c-4a0c-bbf3-3a6042782c46 = "[img=music] Nunca quise interponerme en tu camino... [img=music]"
RM_e3b91fbf-7890-4191-82e1-b620af213644 = "[img=music] Y tú... tú también sabes que me amas, oh... [img=music]"
RM_dd1ccdf5-4274-44ad-82c3-62cd2c79df4e = "[img=música] Tú también me amas. [img=música]"
RM_bc7dd155-b1bd-4eb0-ae5b-1c5442c8d588 = "[img=música] Sí. [img=música]"
RM_9a0ecafe-d744-41da-af17-c9389d0236a6 = "[img=music] Carińo, carińo, tú... [img=music]"
RM_37b6c429-6864-4c8a-ae45-e4c1c87a90cc = "[img=música] Haz... [img=música]"
RM_afdaa5d0-0df0-4621-a986-1d7f3e85ec56 = "[img=music] Ya sabes, justo donde estaré. [img=music]"
RM_c43fcbc3-22de-474e-aef3-57f63b4bade2 = "[img=music] Solo date la vuelta. Soy yo a quien verás. [img=music]"
RM_a68f26e7-dd46-490b-a3de-5dbf6312f361 = "[img=música] No puedo mentir. [img=música]"
RM_b0b339ef-bccd-444c-aa4b-9cc4d98f407a = "[img=música] Me verás llorar. [img=música]"
RM_4e0a41d7-fcbc-442c-b83c-05a1887d2f43 = "[img=music] Sabrás que un corazón sincero puede sangrar. [img=music]"
RM_db598203-3696-4c5e-8d45-05916a1b2513 = "[img=music] Y tú... sabes que también me amas, ooh. [img=music]"
RM_38b844c0-9b7c-46a8-b81a-0df56bd107a0 = "CD: banda sonora oficial de Dying Strike"
RM_e50444c1-5e23-45d0-a961-6fc7553d2dba = "Banda sonora oficial de Dying Strike"
RM_7c9184e3-b322-4565-8566-9d9c39fe09da = "[img=music] Los ama y los deja...[img=music]"
RM_76f3df3c-0372-4c44-82af-3019bfcfc365 = "[img=music] Siempre apunta bien sus armas. [img=music]"
RM_22f1bc18-4b43-41ca-8ab4-d940d9650309 = "[img=music] Lucha contra los enemigos con sus dispositivos... [img=music]"
RM_45c1aab7-d440-4fe5-90ac-5d9d409388ae = "[img=music] Nadie se mete en su caparazón. [img=music]"
RM_05e90cd0-c24d-4a62-8251-ade2887b2805 = "[img=música] A puńos y a balazos... [img=música]"
RM_7b925524-c4c9-4889-b7ca-dd894b60cc8d = "[img=music] ...él da un STRIIIIIIIKE DYYYYYYING! [img=music]"
RM_f1c4626c-df0a-4dcc-a679-7347bc2a24e8 = "[img=music] Con explosiones y cańones... [img=music]"
RM_cfb2c3c5-9b85-418a-82ac-bb75eab975c4 = "[img=music] Golpea un... DYYYYYYING STRIIIIIIIKE! [img=music]"
RM_9d498abc-2e99-4a38-afd3-b8ea51e1414a = "[img=music] En su mayor misión... [img=music]"
RM_a195ae51-69a6-453f-92a1-a9bed7206a41 = "[img=music] ˇÉl da un STRIIIIIIIKE DYYYYYYING! [img=music]"
RM_7c7de31d-a074-4c06-a53d-ebf4ff30e4bb = "CD: Nuestro amor continúa"
RM_a2c02b35-8b71-414a-a68c-b7d3701d5f6d = "Nuestro amor continúa"
RM_043954ac-0641-444e-b321-8aa13beb1b3b = "Publicado en mayo de 1988. Registros de potasio".
RM_fbfbc355-33ba-43c0-a3f2-5f1ee71bc645 = "[img=music] Si supiera que algún día te encontraría... [img=music]"
RM_b17c4105-8725-45f1-9eb1-466eecfefdd3 = "[img=music] Y que nuestro amor sea tan verdadero.. [img=music]"
RM_cfec7b2b-2870-4e2e-9263-db35e66134f8 = "[img=music] No habría desperdiciado todas esas lágrimas... [img=music]"
RM_fc6267bc-d906-41de-8977-39889e9ea4a4 = "[img=music] En todos esos largos y solitarios ańos. [img=music]"
RM_b8aef1d0-099b-4118-b9e7-3eb45ef4abb5 = "[img=music] Perdiendo la fe había uno para mí... [img=music]"
RM_2dbd750b-c19b-4900-8a07-0b4271c4082b = "[img=music] Sin embargo, aquí estás, todo solo para mí. [img=music]"
RM_1bc849a3-050b-42d3-8097-2dc058ffd0df = "[img=music] Y nuestro amor siempre seguirá... [img=music]"
RM_0435e454-9e18-4bbd-8661-dc772c47e851 = "[img=music] Mucho más allá del resto de nuestras vidas... [img=music]"
RM_b4febdc2-8b12-4ab4-bf49-5033a885831a = "[img=music] Eres mi lucero del alba, mi sol... [img=music]"
RM_6f1de52f-c113-4a46-abc8-9feec0aa33d2 = "[img=música] Mi destino, mi único... [img=música]"
RM_c60137d1-f150-4ca9-a604-5e710e8bd71d = "[img=music] Eres la luna, la Vía Láctea... [img=music]"
RM_f25ab71b-bf00-4e41-8021-a499c5e53f30 = "[img=music] La estrella que guía mi camino. [img=music]"
RM_afe6e1c0-a89e-4d29-b692-7828615961ea = "[img=music] Tantos ańos y lágrimas perdidas... [img=music]"
RM_fa281218-f61e-4bd1-9633-905dcb8ab3c8 = "[img=music] Pero cuando te miro, mi amor... [img=music]"
RM_586465ad-59ef-41f1-860a-e9419def4345 = "[img=music] Sé que serás fiel para siempre. [img=music]"
RM_1614e9ba-4b35-4e57-bc3b-cacddfe11feb = "CD: Loretta"
RM_e5520c5a-b321-4051-951d-4a42a73b7bd3 = "Loreta"
RM_356ec554-2c6f-4b11-b5cb-3ed413909f59 = "Chuck medio penique"
RM_c3f6fb93-6f5d-4eec-bc23-ed33e25fad35 = "Publicado en julio de 1976. Countryfile Recordings".
RM_da4f29d1-1055-483b-8e73-60b3461f4665 = "[img=music] No había visto a Loretta en... [img=music]"
RM_0cc63359-d81f-48a2-a6a0-58f0d8ba7962 = "[img=música]... cerca de treinta ańos. [img=música]"
RM_9f385b78-e25c-4014-8510-e3e6aeb7a3b5 = "[img=music] Pero aún podía saborear ese beso... [img=music]"
RM_0f0b5bcc-79c1-4582-8a12-81cc71b6f5ab = "[img=music]... y recuerda su trasero. [img=music]"
RM_af3b031c-617c-4972-b920-0611211a19cd = "[img=music] Pensé que ahora sería un poco diferente. [img=music]"
RM_f23d7baa-fa82-42d2-9a6a-fad99614540c = "[img=music] Así que hoy la revisé. [img=music]"
RM_5b538b0c-312e-44ab-9899-8dacd4a23b3b = "[img=music] Me paré afuera de su remolque... [img=music]"
RM_41b2a481-fa0d-4f9f-8f6f-ee65b6212ec8 = "[img=música] ... con un grito y un grito. [img=música]"
RM_42d86aef-e759-47e2-814d-d54513147e09 = "[img=music] Me preguntó qué diablos estaba haciendo. [img=music]"
RM_61058f05-5de4-4eae-a5e7-c4ff638af5c4 = "[img=music] Dijo que la acabo de despertar. [img=music]"
RM_4acaaaf2-ed40-42bc-ac1f-7abe192f3c4f = "[img=music] Su esposo recibió una escopeta, con un grito y un grito... [img=music]"
RM_ca0e86c0-f49e-487c-a0d0-b1983d55d040 = "[img=music] ... me persiguió hasta el río y ˇsí seńor, me vio salir! [img=music]"
RM_47f7ee00-e726-4321-821f-20b0301cd879 = "CD: Un nińo de Kentucky"
RM_39bc1c52-80ac-4342-a3e8-9b05fcf797ce = "Un nińo de Kentucky"
RM_1ba8b816-aac1-4425-9e3c-453f8ec503dd = "Hank Gilman"
RM_0aed57b8-d4b4-4345-be96-a2dfa2c6762e = "Publicado en agosto de 1978. Countryfile Recordings".
RM_5ec1e960-d842-42bb-881b-42aafa888df8 = "[img=music] Bueno, soy un chico de Kentucky... [img=music]"
RM_a9d1e53f-cf88-40f5-84ec-a9924cd7bb53 = "[img=música] ...y porque tengo mala suerte... [img=música]"
RM_79729d5b-b58d-48cf-9195-4648c8b4e41c = "[img=music] Me enviaron hasta el final... [img=music]"
RM_b9a92819-1bab-47f6-baa8-eb168d133b52 = "[img=música] ...a Tennessee. [img=música]"
RM_05efe47d-1b10-4b42-8649-25093d9f934d = "[img=music] En su porche delantero la conocí... [img=music]"
RM_e0918b80-92e1-4aae-9a60-10f4f8614046 = "[img=music] y en su porche trasero la besé por primera vez. [img=music]"
RM_1894917f-1b08-4234-8aec-c048fe4df3c8 = "[img=music] Pero luego me fui a casa, debido al té helado de mamá... [img=music]"
RM_5f8a9439-2061-431d-9664-0d9cb0b01396 = "[img=music] Oh, soy un chico de Kentucky... [img=music]"
RM_87a00e13-32ad-4f35-9360-908bdd71ff95 = "[img=music] ... Y sí, tengo mala suerte... [img=music]"
RM_d60b51d1-09ca-4942-8334-99e8f9fd78b1 = "[img=music] Porque nunca dije: 'Bonnie... Cásate conmigo' [img=music]"
RM_ff839931-0617-4088-85d2-2a4e98209dc8 = "CD: Me hizo pensar"
RM_68dc41bb-ddae-4416-8d86-250750a8241a = "Me hizo pensar"
RM_21ea0903-038e-4f21-ae45-855e4e824751 = "Viejo Billy Shanklin"
RM_f8cbc205-71b5-464d-98c4-71873a9ca247 = "Lanzado en abril de 1969. Texas Sound".
RM_218e97ed-3d04-45a1-89a6-27a6b31e88d2 = "[img=music] Te diré qué fue lo que me hizo pensar. [img=music]"
RM_324be9f0-e999-4f63-8fb2-61ebb561c3bb = "[img=music] Golpéame el día que dejé de beber. [img=music]"
RM_009a847d-0ba4-4ddf-9423-2a4734ad6185 = "[img=music] Mi esposa se ha ido. [img=music]"
RM_bca5de6d-2d7f-447c-8632-a4e0ecf97ccf = "[img=music] Mi hija dijo 'hasta luego'. [img=music]"
RM_6ce18524-71f0-4e40-ba89-bf9032c6d8aa = "[img=music] Me dejaron solo. [img=music]"
RM_8052acc4-82c4-4179-bed9-c6c79154f382 = "[img=music] Y ahora me estoy hundiendo... [img=music]"
RM_9365bbd6-94f8-4c87-9df4-8c010dcfb5bd = "[img=music] Eso fue lo que me hizo pensar. [img=music]"
RM_f072e5b3-b140-4dcd-98d6-ee3b3ee56975 = "[img=music] Y ahora, sí seńor, me estoy hundiendo... [img=music] ."
RM_84c6b585-63bf-4d89-8d1e-b6a28ae22360 = "CD: El gran globo de Freddy"
RM_6ec711a8-7cfc-4c78-af99-a0a1130317ed = "El gran globo de Freddy"
RM_6d898066-c10b-43a0-b1f2-83a7834ba293 = "Los Bojangles"
RM_22b5b943-c87d-42c4-a10b-345cd4889d68 = "Lanzado en octubre de 1962. Londinium Records".
RM_caffe62f-1f54-4033-b082-4e7b7753b552 = "[img=music] Conocemos a un hombre llamado Freddy... [img=music]"
RM_b9cf7643-391d-4bc2-84f0-bbf492aaf8f3 = "[img=music] ...y tiene un globo enorme. [img=music]"
RM_87f88f72-0625-4d14-a87f-d33bb7c662a3 = "[img=music] Y ha ido tan jodidamente grande... [img=music]"
RM_846621ba-ce4f-4431-84a2-40ea2faba6a4 = "[img=music] ˇPensamos que era la luna cayendo! [img=music]"
RM_9ab271c0-4b00-42dd-bda4-3e1bc9981fee = "[img=música] Le preguntamos a Freddy qué hay en él... [img=música]"
RM_10a8be22-8c97-4731-8c46-d0fd18f180f5 = "[img=music] Dijo que más que nada era palabrería... [img=music]"
RM_a63e95ba-7d85-441c-b443-f0b6274eca79 = "[img=música] ...y huevos y retazos de ropa vieja... [img=música]"
RM_dfae835b-858a-4824-9ec7-c5eaaba5cddd = "[img=music] ...y largos mechones de pelo mohoso. [img=music]"
RM_70aaf800-9cf2-451e-abf6-11bd05c08db5 = "[img=music] Freddy se dirige a Marte ahora... [img=music]"
RM_f616372e-28e9-4adc-bbfa-aac858b90b21 = "[img=music] ...pero no nos lleva. [img=music]"
RM_36822986-f39c-40eb-a30b-9707b0b675ec = "[img=music] Lo extrańaremos a él y a su globo... [img=music]"
RM_024eb2ea-eb02-47b8-aa0a-64756e3564a8 = "[img=music] ˇA Freddy, le cantamos esta canción! [img=music]"
RM_e4d02aae-dfe8-42d1-aaa5-8e814d8be32b = "CD: Lo mejor de los Bojangles"
RM_04333d15-5570-4911-8f47-dee7a20c42ce = "Lo mejor de los Bojangles"
RM_2b9b09c2-5646-4909-a163-07a560610f2d = "Publicado en julio de 1984. Londinium Records".
RM_9184f4e2-cb46-4a11-be0f-3a8dee0bb3c5 = "[img=music] Tengo un gato debajo de mi sombrero... [img=music]"
RM_d50365d6-64d6-4ba1-9578-b1347c93f1fb = "[img=music] Un cocodrilo en mis zapatos. [img=music]"
RM_d0c93b6c-b82a-4665-a6a8-0ae16b1e9329 = "[img=music] Me encanta la mayonesa de huevo viejo. [img=music]"
RM_37937ec7-afa5-47d3-9745-651f7212bde3 = "[img=música] Guitarra discordante. [img=música]"
RM_8898fcd3-0d6d-43ed-8b05-554bb46bcb0d = "[img=music] No me pasa nada. [img=music]"
RM_79437dcf-620b-431a-8dcf-cba7b5845075 = "[img=music] Hay un pepinillo en mi té. [img=music]"
RM_656704b2-1dc5-4515-9047-abfab123d978 = "[img=music] El autobús rojo está lleno de pus... [img=music]"
RM_1d5c115c-a45e-46a8-99f8-8e9a5974fcfc = "[img=music] Y mi cara está hecha de rodillas. [img=music]"
RM_5c37377e-13ee-4ca5-a8e5-ec545152d8c1 = "CD: żDónde está todo el mundo?"
RM_d29a311a-a6a3-476d-b031-4bfc9ea49052 = "żDónde está todo el mundo?"
RM_068cc7b6-5670-4c7f-8046-4a2889bed820 = "Jerry Jones"
RM_5f4c05ec-c32a-4608-acc0-69ccf9dbfcb9 = "Lanzado en diciembre de 1982. Londinium Records".
RM_ce4be459-466c-4066-a9d2-279fa6abf8bb = "[img=música] żDónde se han ido todos? [img=música]"
RM_9a99c50a-81eb-4b7d-87b5-9a60a90daf40 = "[img=music] Ocurrió algo horrible. [img=music]"
RM_97d8a176-59c9-471f-9e5c-eab615eee678 = "[img=music] Ni los gatos se dejan ronronear. [img=music]"
RM_4ba35221-8ce8-448f-b3f2-7cd70ab0cdbb = "[img=música] La tele está totalmente en blanco. [img=música]"
RM_3f0ab20e-6c7a-4b67-b849-a1a33482f623 = "[img=music] No hay clientes en el banco.[img=music]"
RM_483e140e-30d1-4886-90ec-c2adfda5e903 = "[img=music] Las escuelas son cuevas olvidadas... [img=music]"
RM_ee177854-d67c-4905-9391-cf2e4b4cab67 = "[img=música] żNo queda nadie para salvar? [img=música]"
RM_9cd59891-bc6f-49e7-810b-7f19eb8e66ce = "[img=music] Soy el único que queda. [img=music]"
RM_b212a914-c4a5-4c45-84eb-029ed81636d3 = "[img=music] No puede ser el único que queda... [img=music]"
